Ticker,Current Stock Price,Expiration,DTE,Strike,Option Type,Option Symbol,Bid,Ask,Delta,OTM,Premium,Capital Required,Return on Capital,Assignment Proxy,Weekly Income Estimate,Annual Yield,Spread%,Volume,Open Interest,Current IV,Next Earnings Date,Days To Earnings,Earnings Risk,SMA20,SMA50,20D Return,Trend,HV Rank,RSI,Beta,Strategy Mode,Premium Score,Delta Score,OTM Score,Liquidity Score,Earnings Score,ROC Score,Target Delta,Target OTM,Score,IV Percentile (Scan),Owned Position,Final Score
AMD,534.89,2026-07-17,4,570.0,CALL,AMD260717C00570000,10.7,10.75,0.278,0.0656,1070.0,53488.5,0.02,0.278,1070.0,1.8254,0.0047,4944,7860,0.9427,2026-08-04,22.0,NO,530.95,481.9,0.2332,up,0.7476,57.0,3.362,income,1.0,0.731,0.0,0.9845,1.0,0.6668,0.38,0.025,0.7886,91.7,False,0.7882
TSLA,394.63,2026-07-17,4,405.0,CALL,TSLA260717C00405000,7.15,7.3,0.361,0.0263,715.0,39463.0,0.0181,0.361,715.0,1.6533,0.0208,157,5966,0.6261,2026-07-22,9.0,NO,400.88,409.2,0.0686,neutral,0.8444,53.1,2.084,income,0.715,0.9512,0.9489,0.7485,1.0,0.6039,0.38,0.025,0.7938,54.2,False,0.7836
PLTR,127.1,2026-07-17,4,130.0,CALL,PLTR260717C00130000,2.72,2.74,0.39,0.0228,272.0,12710.0,0.0214,0.39,272.0,1.9528,0.0073,2086,21091,0.6689,2026-08-03,21.0,NO,124.92,133.25,-0.0263,neutral,0.5977,46.6,1.071,income,0.272,0.9737,0.9127,0.9756,1.0,0.7133,0.38,0.025,0.7319,66.7,False,0.7233
SPCX,140.35,2026-07-17,4,145.0,CALL,SPCX260717C00145000,3.8,3.9,0.382,0.0331,380.0,14035.01,0.0271,0.382,380.0,2.4706,0.026,574,4338,0.8845,,,NO,,,,unknown,,,,income,0.38,0.9943,0.6748,0.9134,1.0,0.9025,0.38,0.025,0.7706,87.5,False,0.7186
MRVL,219.77,2026-07-17,4,235.0,CALL,MRVL260717C00235000,5.75,5.75,0.305,0.0693,575.0,21977.5,0.0262,0.305,575.0,2.3874,0.0,450,734,1.1162,,,NO,272.11,231.41,-0.0662,neutral,0.5835,36.5,3.271,income,0.575,0.8026,0.0,0.9752,1.0,0.8721,0.38,0.025,0.7269,95.8,False,0.6969
MSFT,387.61,2026-07-17,4,395.0,CALL,MSFT260717C00395000,4.75,4.8,0.352,0.0191,475.0,38760.5,0.0123,0.352,475.0,1.1182,0.0105,1052,6684,0.4356,2026-07-29,16.0,NO,380.51,403.33,-0.0309,neutral,0.6744,53.1,0.616,income,0.475,0.9266,0.7631,0.9651,1.0,0.4085,0.38,0.025,0.7032,12.5,False,0.6946
NVDA,208.91,2026-07-17,4,212.5,CALL,NVDA260717C00212500,2.73,2.75,0.368,0.0172,273.0,20891.0,0.0131,0.368,273.0,1.1924,0.0073,472,23839,0.4377,2026-08-26,44.0,NO,201.95,209.07,0.0526,neutral,0.624,56.1,1.783,income,0.273,0.9686,0.6874,0.9757,1.0,0.4356,0.38,0.025,0.6575,20.8,False,0.6516
QQQ,715.27,2026-07-17,4,725.0,CALL,QQQ260717C00725000,4.22,4.28,0.312,0.0136,422.0,71527.0,0.0059,0.312,422.0,0.5384,0.0141,163,14512,0.2463,,,NO,722.32,714.59,0.047,up,0.8303,51.3,1.45,income,0.422,0.8213,0.5441,0.7752,1.0,0.1967,0.38,0.025,0.5777,4.2,False,0.63
INTC,105.35,2026-07-17,4,110.0,CALL,INTC260717C00110000,2.39,2.51,0.337,0.0441,239.0,10535.0,0.0227,0.337,239.0,2.0701,0.049,180,16061,0.8735,2026-07-23,10.0,NO,124.58,117.0,0.0262,neutral,0.7181,43.2,3.272,income,0.239,0.8869,0.2345,0.6717,1.0,0.7562,0.38,0.025,0.6058,79.2,False,0.6186
META,662.83,2026-07-17,4,700.0,CALL,META260717C00700000,4.9,5.15,0.185,0.0561,490.0,66282.5,0.0074,0.185,490.0,0.6746,0.0498,162,27288,0.5582,2026-07-29,16.0,NO,584.55,600.08,0.1731,neutral,1.0,70.2,1.635,income,0.49,0.4877,0.0,0.6557,1.0,0.2464,0.38,0.025,0.47,29.2,False,0.5401
NOW,108.93,2026-07-17,4,115.0,CALL,NOW260717C00115000,1.65,1.75,0.266,0.0557,165.0,10893.0,0.0151,0.266,165.0,1.3822,0.0588,159,8898,0.771,,,NO,101.31,101.83,0.0156,neutral,0.467,65.3,0.482,income,0.165,0.7002,0.0,0.6232,1.0,0.5049,0.38,0.025,0.4708,70.8,False,0.5026
